CustomerName,Age,MaritalStatus,IncomeRange,Gender,TotalChildren,ChildrenAtHome,Education,Occupation,HomeOwner,Cars
Dewi Haryanto,42,belum menikah,119396,laki-laki,3,3,S3,skilled manual work,memiliki rumah sendiri,1
Yusuf Pratama,23,sudah menikah,75961,laki-laki,1,4,Post-graduate,skilled manual work,memiliki rumah sendiri,1
Budi Wahyuni,21,sudah menikah,53065,perempuan,3,1,S2,professional,tidak memiliki rumah sendiri,2
Indra Wibowo,55,sudah menikah,125493,laki-laki,1,5,S3,unskilled manual work,tidak memiliki rumah sendiri,2
Maya Haryanto,39,belum menikah,29310,perempuan,2,0,S2,clerical work,memiliki rumah sendiri,3
Kartini Utomo,46,sudah menikah,95146,perempuan,1,0,Post-graduate,sales,memiliki rumah sendiri,1
Lina Pratama,55,belum menikah,84442,laki-laki,3,0,SMA,unskilled manual work,memiliki rumah sendiri,0
Wati Purnomo,54,belum menikah,109042,perempuan,1,2,Post-graduate,unskilled manual work,memiliki rumah sendiri,2
Rizki Purnomo,28,belum menikah,115069,laki-laki,3,3,SMA,sales,tidak memiliki rumah sendiri,1
Joko Mahendra,68,sudah menikah,109554,laki-laki,4,2,Post-graduate,management,tidak memiliki rumah sendiri,3
Kartini Mahendra,20,belum menikah,136202,laki-laki,5,2,S3,unskilled manual work,tidak memiliki rumah sendiri,0
Dewi Muliawan,50,sudah menikah,54736,laki-laki,5,1,S2,unskilled manual work,memiliki rumah sendiri,1
Taufik Muliawan,22,belum menikah,74519,perempuan,3,2,S1,skilled manual work,tidak memiliki rumah sendiri,1
Maya Sari,30,sudah menikah,65640,perempuan,3,3,S3,professional,tidak memiliki rumah sendiri,0
Lina Muliawan,43,sudah menikah,118911,laki-laki,3,0,S3,professional,memiliki rumah sendiri,2
Nina Wijaya,34,belum menikah,95061,perempuan,3,3,S2,sales,tidak memiliki rumah sendiri,3
Cahyadi Wahyuni,54,sudah menikah,33216,laki-laki,3,0,S2,sales,memiliki rumah sendiri,2
Fitri Wibowo,23,belum menikah,142779,laki-laki,2,1,SMA,unskilled manual work,memiliki rumah sendiri,1
Putri Wibowo,27,sudah menikah,72173,laki-laki,4,0,S1,sales,memiliki rumah sendiri,3
Zainab Rachman,44,sudah menikah,115781,laki-laki,1,0,Post-graduate,clerical work,memiliki rumah sendiri,3
Nina Santoso,59,sudah menikah,100840,perempuan,0,0,S3,management,memiliki rumah sendiri,2
Yusuf Purnomo,48,sudah menikah,38066,laki-laki,1,0,S3,management,memiliki rumah sendiri,1
Taufik Wijaya,51,sudah menikah,109273,perempuan,2,4,S3,clerical work,memiliki rumah sendiri,1
Putri Wahyuni,30,sudah menikah,58274,laki-laki,4,2,S3,professional,tidak memiliki rumah sendiri,3
Lina Susanto,58,sudah menikah,113734,laki-laki,0,3,S2,professional,memiliki rumah sendiri,2
Vina Santoso,54,belum menikah,25931,laki-laki,2,1,S1,clerical work,tidak memiliki rumah sendiri,1
Taufik Pratama,33,sudah menikah,37053,perempuan,4,4,S2,clerical work,memiliki rumah sendiri,0
Agus Setiawan,60,sudah menikah,29859,laki-laki,4,0,S3,sales,tidak memiliki rumah sendiri,1
Joko Wijaya,54,belum menikah,26742,perempuan,2,2,S2,unskilled manual work,tidak memiliki rumah sendiri,1
Joko Mahendra,40,belum menikah,52653,laki-laki,2,2,Post-graduate,clerical work,tidak memiliki rumah sendiri,2
Rizki Mahendra,34,belum menikah,125848,perempuan,1,4,S3,skilled manual work,memiliki rumah sendiri,1
Maya Hidayat,63,sudah menikah,38867,laki-laki,2,0,S1,unskilled manual work,tidak memiliki rumah sendiri,3
Wati Setiawan,28,belum menikah,75689,laki-laki,3,2,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,3
Joko Utomo,59,belum menikah,114520,perempuan,3,0,S2,professional,tidak memiliki rumah sendiri,3
Budi Haryanto,54,sudah menikah,43025,perempuan,1,2,S1,sales,tidak memiliki rumah sendiri,3
Indra Mahendra,69,sudah menikah,62286,perempuan,5,1,S2,sales,memiliki rumah sendiri,0
Vina Wibowo,21,sudah menikah,110601,laki-laki,0,2,Post-graduate,skilled manual work,memiliki rumah sendiri,2
Nina Susanto,55,belum menikah,36629,laki-laki,4,0,S1,unskilled manual work,tidak memiliki rumah sendiri,1
Gita Wibowo,39,sudah menikah,112369,perempuan,2,0,S1,professional,tidak memiliki rumah sendiri,1
Zainab Wijaya,68,sudah menikah,54615,perempuan,2,3,Post-graduate,professional,tidak memiliki rumah sendiri,3
Wati Putra,48,belum menikah,139620,laki-laki,1,3,S1,management,tidak memiliki rumah sendiri,0
Hadi Wijaya,62,sudah menikah,120880,laki-laki,5,2,SMA,skilled manual work,memiliki rumah sendiri,3
Agus Santoso,52,belum menikah,143432,perempuan,0,1,S3,management,memiliki rumah sendiri,1
Joko Purnomo,49,belum menikah,22168,perempuan,4,1,Post-graduate,management,memiliki rumah sendiri,3
Agus Wijaya,45,sudah menikah,21158,perempuan,4,0,S3,sales,memiliki rumah sendiri,2
Taufik Saputra,19,sudah menikah,138627,perempuan,3,3,S2,professional,tidak memiliki rumah sendiri,2
Fitri Susanto,34,belum menikah,86343,perempuan,2,5,S2,unskilled manual work,memiliki rumah sendiri,1
Putri Haryanto,59,sudah menikah,80050,perempuan,2,2,Post-graduate,unskilled manual work,memiliki rumah sendiri,3
Gita Purnomo,64,sudah menikah,69526,laki-laki,5,0,S1,sales,tidak memiliki rumah sendiri,3
Agus Saputra,51,belum menikah,86328,laki-laki,1,1,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,1
Fitri Saputra,18,belum menikah,142891,perempuan,4,2,S2,professional,memiliki rumah sendiri,3
Wati Rachman,38,belum menikah,76875,laki-laki,4,3,Post-graduate,sales,tidak memiliki rumah sendiri,0
Wati Susanto,44,belum menikah,87274,perempuan,4,1,SMA,sales,memiliki rumah sendiri,0
Fitri Fauzan,25,belum menikah,36640,perempuan,0,2,S1,clerical work,memiliki rumah sendiri,2
Eko Purnomo,53,sudah menikah,31726,perempuan,2,0,Post-graduate,sales,memiliki rumah sendiri,2
Putri Susanto,58,belum menikah,62015,perempuan,4,0,SMA,unskilled manual work,memiliki rumah sendiri,2
Usman Susanto,53,sudah menikah,32845,perempuan,5,0,SMA,clerical work,tidak memiliki rumah sendiri,1
Eko Pratama,48,belum menikah,48278,laki-laki,1,0,S3,management,memiliki rumah sendiri,0
Budi Rachman,51,belum menikah,81063,laki-laki,2,1,S2,unskilled manual work,memiliki rumah sendiri,0
Siti Susanto,44,sudah menikah,127685,perempuan,0,4,S3,professional,memiliki rumah sendiri,1
Maya Purnomo,28,sudah menikah,112814,laki-laki,3,0,Post-graduate,skilled manual work,memiliki rumah sendiri,2
Fitri Sari,36,sudah menikah,129300,laki-laki,5,0,SMA,management,memiliki rumah sendiri,1
Maya Haryanto,30,sudah menikah,87162,perempuan,4,4,SMA,management,memiliki rumah sendiri,0
Maya Rachman,57,sudah menikah,55154,laki-laki,1,1,S2,clerical work,tidak memiliki rumah sendiri,2
Rizki Hidayat,52,belum menikah,137619,laki-laki,4,0,S2,clerical work,tidak memiliki rumah sendiri,1
Kartini Wijaya,60,sudah menikah,139242,perempuan,2,3,S2,skilled manual work,memiliki rumah sendiri,3
Indra Santoso,42,belum menikah,130658,laki-laki,2,4,S2,unskilled manual work,memiliki rumah sendiri,0
Usman Susanto,25,sudah menikah,105379,laki-laki,1,4,S2,skilled manual work,tidak memiliki rumah sendiri,2
Siti Rachman,58,belum menikah,84484,perempuan,3,0,S1,management,tidak memiliki rumah sendiri,1
Taufik Purnomo,61,sudah menikah,123969,perempuan,0,3,SMA,management,memiliki rumah sendiri,3
Gita Fauzan,56,sudah menikah,50187,perempuan,2,0,SMA,sales,tidak memiliki rumah sendiri,1
Usman Wahyuni,33,belum menikah,61288,laki-laki,2,4,S3,clerical work,memiliki rumah sendiri,2
Budi Putra,25,sudah menikah,24674,laki-laki,5,0,SMA,skilled manual work,memiliki rumah sendiri,1
Joko Muliawan,35,belum menikah,42314,laki-laki,2,2,SMA,skilled manual work,tidak memiliki rumah sendiri,2
Joko Rachman,29,belum menikah,75164,laki-laki,3,0,Post-graduate,sales,tidak memiliki rumah sendiri,3
Wati Pratama,24,belum menikah,104826,perempuan,0,0,S2,skilled manual work,memiliki rumah sendiri,3
Agus Setiawan,39,belum menikah,58634,perempuan,2,0,S3,professional,memiliki rumah sendiri,2
Putri Utomo,42,belum menikah,125928,laki-laki,0,2,S2,clerical work,tidak memiliki rumah sendiri,1
Dewi Putra,48,belum menikah,133858,perempuan,5,1,S1,unskilled manual work,tidak memiliki rumah sendiri,2
Usman Rachman,63,belum menikah,70424,perempuan,1,2,S3,professional,tidak memiliki rumah sendiri,1
Cahyadi Purnomo,63,belum menikah,122530,perempuan,2,3,SMA,sales,tidak memiliki rumah sendiri,0
Taufik Santoso,31,sudah menikah,64089,perempuan,3,4,SMA,clerical work,memiliki rumah sendiri,0
Rizki Hidayat,63,belum menikah,52494,laki-laki,3,1,S2,unskilled manual work,memiliki rumah sendiri,3
Hadi Mahendra,22,sudah menikah,136746,laki-laki,0,3,S1,clerical work,tidak memiliki rumah sendiri,0
Cahyadi Hidayat,24,sudah menikah,107360,laki-laki,5,0,S1,skilled manual work,tidak memiliki rumah sendiri,2
Rizki Wibowo,61,belum menikah,45122,perempuan,4,1,Post-graduate,management,memiliki rumah sendiri,1
Indra Hakim,43,belum menikah,65617,perempuan,2,1,SMA,sales,tidak memiliki rumah sendiri,1
Usman Putra,22,sudah menikah,125406,perempuan,0,1,S3,professional,tidak memiliki rumah sendiri,3
Fitri Muliawan,35,sudah menikah,142336,perempuan,5,1,S2,professional,tidak memiliki rumah sendiri,0
Putri Utomo,52,sudah menikah,54358,perempuan,2,4,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,3
Lina Wibowo,39,sudah menikah,115804,laki-laki,4,0,S3,professional,memiliki rumah sendiri,2
Yusuf Anggraini,26,belum menikah,93697,perempuan,1,3,SMA,professional,memiliki rumah sendiri,0
Usman Mahendra,25,belum menikah,65612,perempuan,4,3,S2,unskilled manual work,tidak memiliki rumah sendiri,0
Nina Purnomo,31,sudah menikah,31087,laki-laki,0,0,S2,management,memiliki rumah sendiri,1
Vina Utomo,49,sudah menikah,53186,laki-laki,3,0,S1,skilled manual work,tidak memiliki rumah sendiri,2
Lina Sari,24,sudah menikah,54758,laki-laki,0,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,0
Dewi Mahendra,66,sudah menikah,140210,perempuan,5,1,Post-graduate,management,memiliki rumah sendiri,2
Rizki Santoso,23,belum menikah,61137,perempuan,2,0,S1,clerical work,memiliki rumah sendiri,1
Cahyadi Wijaya,38,belum menikah,33026,perempuan,5,0,S2,sales,tidak memiliki rumah sendiri,3
Putri Muliawan,63,belum menikah,66880,laki-laki,3,3,S1,sales,memiliki rumah sendiri,3
Lina Putra,56,sudah menikah,123319,laki-laki,2,2,S1,management,memiliki rumah sendiri,0
Eko Pratama,42,sudah menikah,22993,perempuan,5,2,SMA,clerical work,tidak memiliki rumah sendiri,3
Joko Rachman,37,sudah menikah,95991,laki-laki,0,2,SMA,sales,tidak memiliki rumah sendiri,3
Taufik Santoso,33,sudah menikah,128125,perempuan,5,0,S2,professional,tidak memiliki rumah sendiri,1
Wati Mahendra,44,belum menikah,111328,perempuan,4,0,S3,unskilled manual work,memiliki rumah sendiri,1
Maya Muliawan,43,sudah menikah,94509,laki-laki,1,0,S2,clerical work,tidak memiliki rumah sendiri,0
Lina Purnomo,42,belum menikah,132880,laki-laki,3,1,S2,sales,tidak memiliki rumah sendiri,3
Nina Susanto,54,sudah menikah,39566,perempuan,2,2,SMA,clerical work,tidak memiliki rumah sendiri,0
Dewi Saputra,69,sudah menikah,59190,perempuan,0,2,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,2
Vina Wibowo,51,sudah menikah,89627,laki-laki,4,2,S2,unskilled manual work,memiliki rumah sendiri,2
Zainab Santoso,52,sudah menikah,107212,laki-laki,0,0,SMA,professional,tidak memiliki rumah sendiri,1
Vina Setiawan,28,belum menikah,52151,perempuan,4,0,S2,skilled manual work,tidak memiliki rumah sendiri,0
Kartini Hidayat,39,belum menikah,120208,perempuan,4,0,S1,management,memiliki rumah sendiri,2
Maya Pratama,50,sudah menikah,138531,laki-laki,4,2,S1,skilled manual work,tidak memiliki rumah sendiri,1
Indra Anggraini,21,belum menikah,110762,perempuan,3,0,Post-graduate,sales,tidak memiliki rumah sendiri,3
Putri Putra,35,sudah menikah,64333,perempuan,2,0,S2,unskilled manual work,tidak memiliki rumah sendiri,0
Usman Purnomo,54,belum menikah,137003,laki-laki,1,0,S3,professional,tidak memiliki rumah sendiri,2
Taufik Anggraini,37,belum menikah,69323,laki-laki,3,1,S3,professional,memiliki rumah sendiri,1
Joko Susanto,51,belum menikah,95263,perempuan,4,4,S3,management,memiliki rumah sendiri,0
Dewi Rachman,45,sudah menikah,135680,perempuan,2,0,S1,clerical work,memiliki rumah sendiri,1
Dewi Hakim,60,belum menikah,149399,perempuan,4,0,S1,professional,tidak memiliki rumah sendiri,2
Joko Fauzan,61,sudah menikah,46781,perempuan,2,2,S1,professional,memiliki rumah sendiri,3
Fitri Haryanto,23,belum menikah,90761,perempuan,5,0,SMA,professional,tidak memiliki rumah sendiri,2
Hadi Hidayat,67,sudah menikah,134322,laki-laki,2,1,SMA,sales,tidak memiliki rumah sendiri,3
Wati Mahendra,24,belum menikah,133101,laki-laki,2,2,S1,professional,memiliki rumah sendiri,1
Budi Wibowo,53,sudah menikah,62279,laki-laki,1,2,Post-graduate,professional,memiliki rumah sendiri,3
Putri Wahyuni,21,sudah menikah,27736,laki-laki,2,1,SMA,sales,tidak memiliki rumah sendiri,2
Kartini Saputra,57,belum menikah,82818,laki-laki,5,3,S2,skilled manual work,memiliki rumah sendiri,3
Gita Saputra,29,belum menikah,71291,laki-laki,0,1,SMA,skilled manual work,tidak memiliki rumah sendiri,2
Nina Muliawan,33,sudah menikah,108212,perempuan,2,1,Post-graduate,sales,memiliki rumah sendiri,3
Siti Santoso,61,sudah menikah,110404,perempuan,2,1,S2,skilled manual work,memiliki rumah sendiri,1
Maya Putra,18,sudah menikah,123518,laki-laki,0,0,Post-graduate,professional,tidak memiliki rumah sendiri,0
Wati Rachman,36,sudah menikah,40158,perempuan,2,1,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,2
Lina Mahendra,66,belum menikah,38409,perempuan,2,2,Post-graduate,professional,memiliki rumah sendiri,1
Agus Muliawan,25,belum menikah,77544,laki-laki,3,1,S3,unskilled manual work,memiliki rumah sendiri,1
Cahyadi Anggraini,25,belum menikah,53564,perempuan,4,1,S1,management,tidak memiliki rumah sendiri,2
Fitri Haryanto,46,sudah menikah,98893,perempuan,0,0,S3,management,memiliki rumah sendiri,2
Putri Pratama,64,belum menikah,34183,perempuan,5,0,SMA,clerical work,tidak memiliki rumah sendiri,3
Kartini Saputra,19,belum menikah,137522,perempuan,3,4,Post-graduate,clerical work,tidak memiliki rumah sendiri,3
Fitri Wijaya,33,sudah menikah,133600,perempuan,2,0,Post-graduate,sales,tidak memiliki rumah sendiri,2
Yusuf Wahyuni,64,sudah menikah,23001,laki-laki,1,0,S3,professional,memiliki rumah sendiri,3
Budi Hakim,23,belum menikah,66754,perempuan,5,0,S3,clerical work,tidak memiliki rumah sendiri,2
Kartini Sari,28,sudah menikah,91504,laki-laki,2,0,Post-graduate,sales,tidak memiliki rumah sendiri,3
Fitri Purnomo,27,belum menikah,74905,perempuan,0,2,SMA,sales,memiliki rumah sendiri,1
Zainab Wahyuni,26,sudah menikah,129652,perempuan,3,2,S2,unskilled manual work,tidak memiliki rumah sendiri,3
Joko Pratama,68,sudah menikah,28301,perempuan,0,3,S2,unskilled manual work,tidak memiliki rumah sendiri,1
Rizki Wijaya,47,sudah menikah,136253,laki-laki,2,1,S2,unskilled manual work,tidak memiliki rumah sendiri,0
Taufik Santoso,46,sudah menikah,20698,laki-laki,0,0,S2,sales,tidak memiliki rumah sendiri,3
Vina Hakim,50,belum menikah,89159,perempuan,5,1,S1,management,tidak memiliki rumah sendiri,2
Vina Purnomo,66,sudah menikah,141639,laki-laki,4,2,S2,sales,tidak memiliki rumah sendiri,3
Dewi Pratama,24,belum menikah,146529,laki-laki,5,5,S2,professional,memiliki rumah sendiri,2
Usman Wahyuni,45,belum menikah,78411,laki-laki,1,0,S2,management,tidak memiliki rumah sendiri,1
Hadi Wibowo,55,sudah menikah,101865,laki-laki,4,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,1
Maya Putra,36,sudah menikah,90974,laki-laki,0,0,S1,sales,tidak memiliki rumah sendiri,1
Zainab Purnomo,62,belum menikah,81684,laki-laki,2,1,S2,clerical work,memiliki rumah sendiri,0
Kartini Sari,22,belum menikah,21256,laki-laki,3,2,SMA,unskilled manual work,tidak memiliki rumah sendiri,3
Vina Wibowo,43,sudah menikah,119009,laki-laki,4,0,SMA,professional,memiliki rumah sendiri,3
Joko Wibowo,37,sudah menikah,72678,laki-laki,5,1,S2,clerical work,tidak memiliki rumah sendiri,1
Maya Purnomo,49,sudah menikah,108539,perempuan,3,1,S1,unskilled manual work,memiliki rumah sendiri,3
Maya Wahyuni,50,belum menikah,121518,laki-laki,4,0,S3,skilled manual work,memiliki rumah sendiri,1
Fitri Mahendra,18,sudah menikah,48384,laki-laki,2,3,SMA,skilled manual work,memiliki rumah sendiri,3
Putri Mahendra,21,sudah menikah,61916,perempuan,4,3,S1,unskilled manual work,memiliki rumah sendiri,3
Eko Fauzan,52,belum menikah,90444,perempuan,3,2,SMA,unskilled manual work,memiliki rumah sendiri,2
Siti Utomo,63,belum menikah,146786,laki-laki,1,0,Post-graduate,unskilled manual work,memiliki rumah sendiri,3
Nina Sari,19,belum menikah,76141,laki-laki,3,0,S3,sales,tidak memiliki rumah sendiri,2
Cahyadi Utomo,54,belum menikah,106446,laki-laki,0,3,S1,unskilled manual work,tidak memiliki rumah sendiri,3
Eko Wahyuni,60,sudah menikah,125319,perempuan,0,0,SMA,unskilled manual work,tidak memiliki rumah sendiri,2
Taufik Rachman,24,sudah menikah,118254,perempuan,2,4,S2,unskilled manual work,tidak memiliki rumah sendiri,3
Nina Pratama,22,sudah menikah,36733,perempuan,0,1,SMA,clerical work,tidak memiliki rumah sendiri,1
Dewi Anggraini,62,belum menikah,118962,laki-laki,5,1,S1,professional,tidak memiliki rumah sendiri,1
Nina Rachman,36,belum menikah,121223,laki-laki,3,1,S2,management,tidak memiliki rumah sendiri,3
Joko Haryanto,56,belum menikah,58231,perempuan,1,5,S2,sales,memiliki rumah sendiri,0
Zainab Santoso,22,belum menikah,78884,laki-laki,0,2,S2,professional,tidak memiliki rumah sendiri,1
Dewi Setiawan,33,belum menikah,124647,perempuan,4,1,S3,management,memiliki rumah sendiri,0
Cahyadi Susanto,65,belum menikah,112550,perempuan,1,0,S2,management,memiliki rumah sendiri,2
Fitri Hakim,61,sudah menikah,89196,perempuan,5,4,Post-graduate,professional,tidak memiliki rumah sendiri,1
Wati Santoso,22,sudah menikah,114202,perempuan,3,0,Post-graduate,skilled manual work,memiliki rumah sendiri,0
Taufik Sari,24,sudah menikah,23650,perempuan,3,2,S3,management,tidak memiliki rumah sendiri,3
Budi Setiawan,25,sudah menikah,135959,perempuan,1,4,S1,clerical work,memiliki rumah sendiri,2
Joko Susanto,53,sudah menikah,78963,laki-laki,4,2,S3,management,memiliki rumah sendiri,2
Fitri Santoso,27,belum menikah,76683,laki-laki,2,2,S1,unskilled manual work,memiliki rumah sendiri,0
Wati Sari,42,sudah menikah,59543,laki-laki,2,2,S2,unskilled manual work,memiliki rumah sendiri,2
Eko Anggraini,25,belum menikah,40651,laki-laki,3,2,S3,skilled manual work,memiliki rumah sendiri,2
Lina Utomo,67,belum menikah,48400,perempuan,3,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,2
Lina Purnomo,65,belum menikah,118548,perempuan,3,0,S1,skilled manual work,memiliki rumah sendiri,1
Indra Purnomo,39,belum menikah,49627,perempuan,2,1,S2,sales,tidak memiliki rumah sendiri,1
Gita Setiawan,64,belum menikah,106235,laki-laki,0,0,S1,professional,memiliki rumah sendiri,3
Dewi Muliawan,31,sudah menikah,73602,perempuan,4,2,SMA,unskilled manual work,tidak memiliki rumah sendiri,0
Agus Fauzan,26,sudah menikah,30124,laki-laki,4,3,SMA,professional,tidak memiliki rumah sendiri,3
Vina Santoso,50,sudah menikah,99228,perempuan,3,0,SMA,unskilled manual work,memiliki rumah sendiri,1
Dewi Wibowo,30,sudah menikah,82014,perempuan,4,4,S3,sales,tidak memiliki rumah sendiri,2
Dewi Utomo,56,sudah menikah,76233,perempuan,2,0,S3,management,tidak memiliki rumah sendiri,2
Agus Haryanto,69,sudah menikah,28000,laki-laki,3,2,Post-graduate,management,tidak memiliki rumah sendiri,1
Siti Rachman,50,sudah menikah,31634,perempuan,5,4,S1,sales,tidak memiliki rumah sendiri,1
Lina Wibowo,31,belum menikah,71570,perempuan,0,0,S1,management,memiliki rumah sendiri,0
Eko Haryanto,18,sudah menikah,67256,perempuan,0,3,SMA,skilled manual work,tidak memiliki rumah sendiri,1
Agus Wahyuni,47,belum menikah,102610,laki-laki,1,0,S2,management,memiliki rumah sendiri,2
Siti Rachman,22,belum menikah,34621,laki-laki,0,1,S2,skilled manual work,memiliki rumah sendiri,1
Siti Wahyuni,20,belum menikah,76734,laki-laki,3,0,Post-graduate,professional,memiliki rumah sendiri,0
Nina Utomo,28,belum menikah,97991,perempuan,5,1,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,2
Dewi Mahendra,42,belum menikah,62674,laki-laki,0,1,Post-graduate,sales,memiliki rumah sendiri,1
Nina Setiawan,33,belum menikah,110105,perempuan,1,1,S2,management,memiliki rumah sendiri,2
Taufik Sari,63,sudah menikah,63351,laki-laki,5,0,SMA,skilled manual work,tidak memiliki rumah sendiri,1
Taufik Susanto,20,sudah menikah,132425,laki-laki,3,0,Post-graduate,skilled manual work,tidak memiliki rumah sendiri,3
Cahyadi Saputra,69,sudah menikah,141324,laki-laki,1,3,S2,clerical work,memiliki rumah sendiri,1
Eko Susanto,29,belum menikah,42108,perempuan,4,4,SMA,clerical work,tidak memiliki rumah sendiri,3
Indra Muliawan,21,belum menikah,27384,laki-laki,1,2,SMA,unskilled manual work,tidak memiliki rumah sendiri,3
Siti Putra,47,sudah menikah,107350,perempuan,2,1,SMA,professional,memiliki rumah sendiri,2
Siti Hakim,40,belum menikah,66964,perempuan,1,0,SMA,sales,tidak memiliki rumah sendiri,0
Kartini Haryanto,50,belum menikah,111207,perempuan,2,1,S1,professional,tidak memiliki rumah sendiri,3
Hadi Rachman,62,belum menikah,142379,laki-laki,4,0,S1,unskilled manual work,memiliki rumah sendiri,3
Lina Purnomo,36,belum menikah,113301,laki-laki,3,0,S1,management,tidak memiliki rumah sendiri,2
Hadi Santoso,28,belum menikah,138970,perempuan,2,0,S3,management,memiliki rumah sendiri,3
Wati Utomo,26,sudah menikah,140202,perempuan,4,1,SMA,professional,memiliki rumah sendiri,2
Hadi Haryanto,65,belum menikah,78182,laki-laki,3,3,Post-graduate,management,memiliki rumah sendiri,2
Eko Wibowo,39,sudah menikah,148168,perempuan,0,0,S3,management,memiliki rumah sendiri,3
Yusuf Purnomo,23,sudah menikah,104238,perempuan,4,4,S2,sales,memiliki rumah sendiri,1
Yusuf Pratama,35,belum menikah,42016,perempuan,0,1,S2,management,memiliki rumah sendiri,2
Cahyadi Pratama,21,belum menikah,39500,perempuan,4,0,S2,skilled manual work,memiliki rumah sendiri,3
Joko Hidayat,33,belum menikah,44429,laki-laki,0,0,S3,professional,memiliki rumah sendiri,3
Rizki Muliawan,67,sudah menikah,70652,laki-laki,1,3,S3,professional,tidak memiliki rumah sendiri,3
Yusuf Anggraini,24,sudah menikah,138068,perempuan,3,0,S1,clerical work,tidak memiliki rumah sendiri,3
Hadi Hidayat,47,sudah menikah,49449,laki-laki,4,3,S1,clerical work,tidak memiliki rumah sendiri,2
Usman Utomo,65,sudah menikah,47133,perempuan,2,1,SMA,professional,tidak memiliki rumah sendiri,0
Putri Rachman,33,belum menikah,120471,laki-laki,3,0,S2,skilled manual work,tidak memiliki rumah sendiri,0
Eko Purnomo,35,sudah menikah,145463,laki-laki,3,1,S2,sales,tidak memiliki rumah sendiri,1
Indra Setiawan,42,sudah menikah,59089,perempuan,2,0,S1,clerical work,memiliki rumah sendiri,1
Taufik Putra,28,sudah menikah,100007,laki-laki,1,1,Post-graduate,unskilled manual work,tidak memiliki rumah sendiri,1
Putri Haryanto,49,belum menikah,138450,perempuan,4,1,SMA,sales,tidak memiliki rumah sendiri,0
Siti Hakim,35,belum menikah,38769,perempuan,1,0,S3,skilled manual work,tidak memiliki rumah sendiri,0
Rizki Haryanto,60,sudah menikah,120841,laki-laki,2,1,S3,clerical work,memiliki rumah sendiri,3
Yusuf Santoso,62,sudah menikah,111871,laki-laki,1,0,S3,skilled manual work,tidak memiliki rumah sendiri,2
Kartini Sari,54,belum menikah,136641,laki-laki,5,0,S3,sales,memiliki rumah sendiri,0
Maya Santoso,65,belum menikah,143766,laki-laki,4,0,S2,sales,memiliki rumah sendiri,3
Maya Hidayat,57,belum menikah,31437,perempuan,1,4,S1,clerical work,tidak memiliki rumah sendiri,1
Gita Wijaya,68,belum menikah,123173,perempuan,4,0,Post-graduate,professional,tidak memiliki rumah sendiri,3
